Name,URL,Sex,Nationality,Article length,"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
Tom Cruise,https://en.wikipedia.org/wiki/Tom_Cruise,Male,American,35695,Neutral,Neutral,Neutral,0.2764078714270763,0.42809580649806434,0.2954963276965046,13.0,29.0,17.0,22.033898305084744,49.152542372881356,28.8135593220339,Neutral,Neutral,Neutral,0.08385799613051766,0.5858203931384302,0.3303216124681665,4.0,38.0,17.0,6.779661016949152,64.40677966101694,28.8135593220339,Neutral,Neutral,Neutral,0.0797592859610386,0.5372737721234376,0.3829669364464513,5.0,32.0,22.0,8.47457627118644,54.23728813559322,37.28813559322034
Bradley Cooper,https://en.wikipedia.org/wiki/Bradley_Cooper,Male,American,36530,Positive,Positive,Neutral,0.2017171720733732,0.4321234022350531,0.36615943075714763,5.0,18.0,18.0,12.195121951219512,43.90243902439025,43.90243902439025,Neutral,Neutral,Neutral,0.06879568559390664,0.6077612569515358,0.32344304936054086,2.0,25.0,14.0,4.878048780487805,60.97560975609756,34.146341463414636,Neutral,Neutral,Neutral,0.03994045197193009,0.5993672785930215,0.3606922702785544,1.0,26.0,14.0,2.4390243902439024,63.41463414634146,34.146341463414636
Robert Downey Jr.,https://en.wikipedia.org/wiki/Robert_Downey_Jr.,Male,American,36150,Neutral,Neutral,Neutral,0.2850581163005648,0.4298613094465284,0.2850805761244143,13.0,30.0,19.0,20.967741935483872,48.38709677419355,30.64516129032258,Neutral,Neutral,Neutral,0.06114227474813013,0.6085972298201519,0.33026049966010607,1.0,45.0,16.0,1.6129032258064515,72.58064516129032,25.806451612903224,Neutral,Neutral,Neutral,0.04494079833669121,0.5581394708468315,0.3969197281339511,2.0,38.0,22.0,3.225806451612903,61.29032258064516,35.483870967741936
Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,Male,American,30151,Neutral,Positive,Neutral,0.11501919495543603,0.46013334492097735,0.4248474510228745,1.0,24.0,22.0,2.127659574468085,51.06382978723404,46.808510638297875,Neutral,Neutral,Neutral,0.012859631017073981,0.572520674171505,0.4146197075608351,0.0,33.0,14.0,0.0,70.2127659574468,29.78723404255319,Neutral,Neutral,Neutral,0.008003781273299156,0.5236259733075084,0.46837024491993595,0.0,27.0,20.0,0.0,57.446808510638306,42.5531914893617
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,Female,American,66193,Neutral,Positive,Neutral,0.22501641216476545,0.408491214371847,0.3664923781159624,12.0,43.0,35.0,13.333333333333334,47.77777777777778,38.88888888888889,Neutral,Neutral,Neutral,0.052759035488008615,0.5822064540865491,0.3650345102229812,1.0,62.0,27.0,1.1111111111111112,68.88888888888889,30.0,Neutral,Neutral,Neutral,0.05380596251496131,0.5369176455826977,0.4092764004317872,3.0,52.0,35.0,3.3333333333333335,57.77777777777777,38.88888888888889
Sydney Sweeney,https://en.wikipedia.org/wiki/Sydney_Sweeney,Female,American,10960,Neutral,Neutral,Neutral,0.25101905011939035,0.5174664604484382,0.23151446765570827,2.0,15.0,3.0,10.0,75.0,15.0,Neutral,Neutral,Neutral,0.037326400943527877,0.697618132786499,0.2650554763109009,0.0,17.0,3.0,0.0,85.0,15.0,Neutral,Neutral,Neutral,0.038088861437782943,0.6120481832702831,0.3498629423981723,0.0,13.0,7.0,0.0,65.0,35.0
Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,Female,American,47145,Neutral,Neutral,Neutral,0.19634322181927974,0.41140942807582037,0.39224735239501113,8.0,34.0,25.0,11.940298507462686,50.74626865671642,37.3134328358209,Neutral,Neutral,Neutral,0.04429773017199115,0.6252716618452665,0.33043061632926535,0.0,51.0,16.0,0.0,76.11940298507463,23.88059701492537,Neutral,Neutral,Neutral,0.02933277415355332,0.5283899274265821,0.4422772980470541,2.0,38.0,27.0,2.9850746268656714,56.71641791044776,40.298507462686565
Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch,Male,British,32107,Neutral,Neutral,Neutral,0.1486575352807426,0.5846587666615667,0.26668369685512516,4.0,48.0,16.0,5.88235294117647,70.58823529411765,23.52941176470588,Neutral,Neutral,Neutral,0.026240320554917474,0.6312410729918198,0.3425185998165125,1.0,49.0,18.0,1.4705882352941175,72.05882352941177,26.47058823529412,Neutral,Neutral,Neutral,0.013118930149233399,0.556871491823463,0.4300095790243231,1.0,41.0,26.0,1.4705882352941175,60.29411764705882,38.23529411764706
Orlando Bloom,https://en.wikipedia.org/wiki/Orlando_Bloom,Male,British,13964,Neutral,Neutral,Neutral,0.16446925620224292,0.5720487707754716,0.26348198061479206,2.0,21.0,4.0,7.4074074074074066,77.77777777777779,14.814814814814813,Neutral,Neutral,Neutral,0.0452081048885156,0.693872396460972,0.26091949802264996,2.0,20.0,5.0,7.4074074074074066,74.07407407407408,18.51851851851852,Neutral,Neutral,Neutral,0.05036561814088216,0.6804724316163652,0.2691619418937883,2.0,21.0,4.0,7.4074074074074066,77.77777777777779,14.814814814814813
Idris Elba,https://en.wikipedia.org/wiki/Idris_Elba,Male,British,22970,Neutral,Neutral,Neutral,0.1319963674387389,0.6559857768069468,0.21201784893396786,2.0,34.0,7.0,4.651162790697675,79.06976744186046,16.27906976744186,Neutral,Neutral,Neutral,0.013156938618296352,0.7159449646881108,0.27089809310137186,0.0,35.0,8.0,0.0,81.3953488372093,18.6046511627907,Neutral,Neutral,Neutral,0.005334801397030009,0.7263609208279315,0.26830428881800994,0.0,33.0,10.0,0.0,76.74418604651163,23.25581395348837
