State,Chamber,Name,URL,Party,Born,Tenure (years),Article length (characters),"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
Alabama,House,Barry Moore,https://en.wikipedia.org/wiki/Barry_Moore_(American_politician),Republican,"September 26, 1966 (age 59)",5,8939,Neutral,Neutral,Neutral,0.327033108,0.557756322,0.115210586,7,26,2,20,74.28571429,5.714285714,Neutral,Neutral,Neutral,0.259362854,0.637907525,0.102729631,8,25,2,22.85714286,71.42857143,5.714285714,Neutral,Neutral,Neutral,0.222212054,0.663097914,0.11469004,5,28,2,14.28571429,80,5.714285714
Alabama,House,Shomari Figures,https://en.wikipedia.org/wiki/Shomari_Figures,Democratic,"September 3, 1985 (age 40)",1,3557,Neutral,Neutral,Neutral,0.202243945,0.674817771,0.122938279,1,10,0,9.090909091,90.90909091,0,Neutral,Neutral,Neutral,0.028998771,0.837367636,0.133633595,0,11,0,0,100,0,Neutral,Neutral,Neutral,0.089964538,0.812845852,0.097189595,0,11,0,0,100,0
Alabama,House,Mike Rogers,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician),Republican,"July 16, 1958 (age 67)",23,13047,Neutral,Neutral,Neutral,0.355128185,0.486530587,0.158341228,8,27,3,21.05263158,71.05263158,7.894736842,Neutral,Neutral,Neutral,0.232974707,0.685156645,0.081868651,8,29,1,21.05263158,76.31578947,2.631578947,Neutral,Neutral,Neutral,0.212967377,0.666296615,0.120736009,6,30,2,15.78947368,78.94736842,5.263157895
Alabama,House,Robert Aderholt,https://en.wikipedia.org/wiki/Robert_Aderholt,Republican,"July 22, 1965 (age 60)",29,10632,Neutral,Neutral,Neutral,0.251733845,0.567485209,0.180780951,6,32,4,14.28571429,76.19047619,9.523809524,Neutral,Neutral,Neutral,0.169506917,0.678276703,0.152216369,5,34,3,11.9047619,80.95238095,7.142857143,Neutral,Neutral,Neutral,0.097878591,0.739627301,0.16249411,4,35,3,9.523809524,83.33333333,7.142857143
Alabama,House,Dale Strong,https://en.wikipedia.org/wiki/Dale_Strong,Republican,"May 8, 1970 (age 55)",3,8926,Neutral,Neutral,Neutral,0.258657524,0.538543864,0.202798631,2,18,2,9.090909091,81.81818182,9.090909091,Neutral,Neutral,Neutral,0.053095971,0.759575587,0.187328455,0,20,2,0,90.90909091,9.090909091,Neutral,Neutral,Neutral,0.027637054,0.782283898,0.190079029,0,20,2,0,90.90909091,9.090909091
Alabama,House,Gary Palmer,https://en.wikipedia.org/wiki/Gary_Palmer_(politician),Republican,"May 14, 1954 (age 71)",11,10790,Neutral,Neutral,Neutral,0.314069171,0.513736039,0.172194798,9,26,3,23.68421053,68.42105263,7.894736842,Neutral,Neutral,Neutral,0.207729511,0.65672085,0.13554962,8,28,2,21.05263158,73.68421053,5.263157895,Neutral,Neutral,Neutral,0.175257194,0.704169215,0.120573591,4,32,2,10.52631579,84.21052632,5.263157895
Alabama,House,Terri Sewell,https://en.wikipedia.org/wiki/Terri_Sewell,Democratic,"January 1, 1965 (age 60)",15,11259,Neutral,Neutral,Neutral,0.184335123,0.607599282,0.208065589,5,46,4,9.090909091,83.63636364,7.272727273,Neutral,Neutral,Neutral,0.100341363,0.696299048,0.2033596,6,44,5,10.90909091,80,9.090909091,Neutral,Neutral,Neutral,0.07973576,0.670954917,0.249309319,5,39,11,9.090909091,70.90909091,20
Alaska,House,Nick Begich III,https://en.wikipedia.org/wiki/Nick_Begich_III,Republican,"October 27, 1977 (age 47)",1,6584,Neutral,Neutral,Neutral,0.203444866,0.66152915,0.135025997,3,18,0,14.28571429,85.71428571,0,Neutral,Neutral,Neutral,0.041640884,0.820912883,0.137446239,0,20,1,0,95.23809524,4.761904762,Neutral,Neutral,Neutral,0.041532382,0.824166549,0.134301082,0,19,2,0,90.47619048,9.523809524
Arizona,House,David Schweikert,https://en.wikipedia.org/wiki/David_Schweikert,Republican,"March 3, 1962 (age 63)",15,13625,Neutral,Neutral,Neutral,0.401305409,0.479581862,0.119112733,13,34,2,26.53061224,69.3877551,4.081632653,Neutral,Neutral,Neutral,0.218974859,0.68338179,0.097643359,8,37,4,16.32653061,75.51020408,8.163265306,Neutral,Neutral,Neutral,0.260588162,0.638927614,0.100484227,9,35,5,18.36734694,71.42857143,10.20408163
Arizona,House,Eli Crane,https://en.wikipedia.org/wiki/Eli_Crane,Republican,"January 3, 1980 (age 45)",3,5646,Neutral,Neutral,Neutral,0.202309442,0.693382812,0.104307737,1,26,0,3.703703704,96.2962963,0,Neutral,Neutral,Neutral,0.165706271,0.74519993,0.089093784,2,25,0,7.407407407,92.59259259,0,Neutral,Neutral,Neutral,0.144124248,0.761081876,0.09479387,3,23,1,11.11111111,85.18518519,3.703703704
